domain,creation_date,expiration_date,lifespan,creation_year,registrar,nameserver1,nameserver2,nameserver3
1045theteam.com,04-12-2009,04-12-2025,16.0,2009.0,,,,
1057thehawk.com,22-03-2002,22-03-2026,24.0,2002.0,,,,
1073kissfmtexas.com,16-01-2020,16-01-2026,6.0,2020.0,,,,
1073planetradio.iheart.com,07-01-1999,07-01-2026,27.0,1999.0,,,,
107jamz.com,03-03-2004,03-03-2026,22.0,2004.0,,,,
10fastfingers.com,13-11-2007,13-11-2025,18.0,2007.0,RegistryGate GmbH,ALAN.NS.CLOUDFLARE.COM,CANDY.NS.CLOUDFLARE.COM,
10fastingers.com,08-08-2012,08-08-2026,14.0,2012.0,,,,
10k.anibargh.com,13-12-2023,13-12-2025,2.0,2023.0,,,,
10k.healthspacee.com,07-05-2021,07-05-2026,5.0,2021.0,,,,
10minemail.com,27-03-2012,27-03-2026,14.0,2012.0,,,,
10svg.com,13-07-2021,13-07-2026,5.0,2021.0,,,,
10tv.com,11-08-1995,10-08-2026,31.0,1995.0,,,,
113.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
11522.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
116.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
11alive.com,10-09-1997,09-09-2025,28.0,1997.0,,,,
121.fflivegame.com,05-10-2023,05-10-2025,2.0,2023.0,"HOSTINGER operations, UAB",GNS21.CLOUDNS.NET,GNS22.CLOUDNS.NET,GNS23.CLOUDNS.NET
123calendars.com,19-07-2000,19-07-2028,28.0,2000.0,,,,
123devis.com,14-03-2005,14-03-2026,21.0,2005.0,,,,
123greetings.com,20-05-1997,21-05-2030,33.0,1997.0,,,,
123movied.com,17-02-2016,17-02-2026,10.0,2016.0,,,,
123moviesme.com,04-03-2014,04-03-2026,12.0,2014.0,,,,
123test.com,13-05-2002,13-05-2026,24.0,2002.0,Hosting Concepts B.V. d/b/a Registrar.eu,NS-CLOUD-D1.GOOGLEDOMAINS.COM,NS-CLOUD-D2.GOOGLEDOMAINS.COM,NS-CLOUD-D3.GOOGLEDOMAINS.COM
126.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
12tomatoes.com,16-07-2010,16-07-2026,16.0,2010.0,,,,
1380kcim.com,07-02-2006,07-02-2028,22.0,2006.0,,,,
138ip.com,26-02-2006,26-02-2026,20.0,2006.0,,,,
139designs.com,14-06-2007,14-06-2026,19.0,2007.0,,,,
13wmaz.com,06-08-1996,05-08-2026,30.0,1996.0,,,,
14.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
1404259de.cheerzone.net,28-05-2025,28-05-2026,1.0,2025.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),BART.NS.CLOUDFLARE.COM,NOVALEE.NS.CLOUDFLARE.COM,
1420wbec.com,06-09-2017,06-09-2025,8.0,2017.0,,,,
1440wrok.com,05-06-2007,05-06-2026,19.0,2007.0,NAMECHEAP INC,NS1.G10.CFDNS.NET,NS2.G10.CFDNS.BIZ,NS3.G10.CFDNS.INFO
147.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
15track.com,26-02-2020,26-02-2026,6.0,2020.0,,,,
160club.com,14-10-2024,14-10-2025,1.0,2024.0,"GoDaddy.com, LLC",BRAD.NS.CLOUDFLARE.COM,KIRA.NS.CLOUDFLARE.COM,
16petsonalities.com,22-06-2016,22-06-2026,10.0,2016.0,,,,
16valvulas.com.ar,20-08-2013,16-04-2026,12.0,2013.0,,,,
171.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
173.fflivegame.com,05-10-2023,05-10-2027,4.0,2023.0,"HOSTINGER operations, UAB",GNS21.CLOUDNS.NET,GNS22.CLOUDNS.NET,GNS23.CLOUDNS.NET
177milkstreet.com,10-06-2016,10-06-2026,10.0,2016.0,"GoDaddy.com, LLC",DOM.NS.CLOUDFLARE.COM,LISA.NS.CLOUDFLARE.COM,
17thdistrictcourtpay.com,19-06-2023,19-06-2026,3.0,2023.0,,,,
17ttack.net,04-11-2014,04-11-2025,11.0,2014.0,,,,
1810.hk,19-09-2023,19-09-2025,2.0,2023.0,,,,
1840farm.com,12-07-2012,12-07-2025,13.0,2012.0,,,,
187.argjendaridonaldo.com,02-05-2020,02-05-2026,6.0,2020.0,,,,
18cimic.vip,23-09-2021,23-09-2025,4.0,2021.0,,,,
18javhd.com,30-09-2024,30-09-2025,1.0,2024.0,,,,
192-168-1-1ip.mobi,27-10-2016,27-10-2025,9.0,2016.0,,,,
192.com,13-06-1997,12-06-2029,32.0,1997.0,123-Reg Limited,NAYA.NS.CLOUDFLARE.COM,RUSTAM.NS.CLOUDFLARE.COM,
19216801.one,09-09-2019,09-09-2026,7.0,2019.0,"NameCheap, Inc.",emily.ns.cloudflare.com,frank.ns.cloudflare.com,
1921681001.one,03-05-2020,03-05-2026,6.0,2020.0,"NameCheap, Inc.",ali.ns.cloudflare.com,aragorn.ns.cloudflare.com,
1921681001.tel,26-10-2022,26-10-2025,3.0,2022.0,DonDominio (SCIP),weston.ns.cloudflare.com,ziggy.ns.cloudflare.com,
19216811.tel,20-05-2020,20-05-2026,6.0,2020.0,,,,
19216811.uno,17-09-2019,17-09-2026,7.0,2019.0,NAMECHEAP INC,THEO.NS.CLOUDFLARE.COM,BRENDA.NS.CLOUDFLARE.COM,
196flavors.com,20-10-2012,20-10-2028,16.0,2012.0,,,,
19fortyfive.com,18-05-2020,18-05-2029,9.0,2020.0,,,,
1aaaaaa.com,21-11-2020,21-11-2025,5.0,2020.0,,,,
1eurohouses.com,20-01-2019,20-01-2026,7.0,2019.0,,,,
1happybirthday.com,19-09-2006,19-09-2030,24.0,2006.0,,,,
1m.anibargh.com,13-12-2023,13-12-2025,2.0,2023.0,,,,
1millionideas.com,03-10-2019,03-10-2025,6.0,2019.0,,,,
1strecipes.com,22-11-2017,22-11-2026,9.0,2017.0,,,,
1v1.lol,29-04-2019,29-04-2030,11.0,2019.0,,,,
1x.lofblog.com,24-05-2024,24-05-2026,2.0,2024.0,,,,
1xmdv.com,25-04-2024,25-04-2026,2.0,2024.0,,,,
20.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
2001ad.com,16-04-1996,17-04-2026,30.0,1996.0,"TurnCommerce, Inc. DBA NameBright.com",NAOMI.NS.CLOUDFLARE.COM,VALENTIN.NS.CLOUDFLARE.COM,
2009.konepembappointment.com,05-01-2021,05-01-2026,5.0,2021.0,,,,
202.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
202.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,,,,
2020cadillac.com,08-02-2019,08-02-2026,7.0,2019.0,,,,
207.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
210338312410850.link.thndrpnny.com,21-07-2020,21-07-2028,8.0,2020.0,,,,
212.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
21pilots.com,17-10-2012,17-10-2025,13.0,2012.0,,,,
222sen.com,03-06-2019,03-06-2026,7.0,2019.0,,,,
22644538212.mzgen.com,06-11-2024,06-11-2025,1.0,2024.0,,,,
22660945639.appposts.com,08-10-2023,08-10-2025,2.0,2023.0,,,,
22681683317.niasai.com,11-09-2024,11-09-2025,1.0,2024.0,,,,
22790571732.states-dmv.com,21-12-2023,21-12-2025,2.0,2023.0,,,,
22792216441.appmerica.com,29-10-2024,29-10-2025,1.0,2024.0,,,,
22902293027.niasai.com,11-09-2024,11-09-2025,1.0,2024.0,Porkbun LLC,CHIN.NS.CLOUDFLARE.COM,GUY.NS.CLOUDFLARE.COM,
231hm.com,03-11-2021,03-11-2025,4.0,2021.0,,,,
234.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
24330.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
244.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,,,,
247-foodrecipes.com,21-12-2024,21-12-2025,1.0,2024.0,,,,
247careeringulf.org,29-04-2025,29-04-2026,1.0,2025.0,,,,
247careers.co.za,21-02-2022,21-02-2026,4.0,2022.0,,,,
247jobarab.net,04-07-2024,04-07-2025,1.0,2024.0,,,,
247politics.net,08-11-2021,08-11-2025,4.0,2021.0,,,,
247sports.com,18-04-2001,18-04-2026,25.0,2001.0,,,,
249.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
24petconnect.com,03-09-2020,03-09-2027,7.0,2020.0,"GoDaddy.com, LLC",NS19.DOMAINCONTROL.COM,NS20.DOMAINCONTROL.COM,
24timezones.com,30-06-2005,30-06-2033,28.0,2005.0,,,,
24trendz.com,18-09-2024,18-09-2025,1.0,2024.0,,,,
263.fflivegame.com,05-10-2023,05-10-2025,2.0,2023.0,,,,
276.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
28.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
280093721.xyupoo.com,30-05-2017,30-05-2026,9.0,2017.0,,,,
29.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
2belikechrist.com,16-07-2014,16-07-2025,11.0,2014.0,,,,
2c8b3f19-0325-4acc-a3dd-31a918e4dbf5.random.treinamentovendedordigitalpro.com,08-02-2021,08-02-2026,5.0,2021.0,,,,
2day.coupons,10-03-2025,10-03-2026,1.0,2025.0,,,,
2ix2.com,21-01-2020,21-01-2026,6.0,2020.0,"GoDaddy.com, LLC",HARLEY.NS.CLOUDFLARE.COM,MACY.NS.CLOUDFLARE.COM,
2mrecipes.com,05-12-2024,05-12-2025,1.0,2024.0,,,,
2ndchancelottery.com,18-03-2019,18-03-2026,7.0,2019.0,,,,
2ndline-second-phone-number.softonic.com.br,09-11-2006,09-11-2025,19.0,2006.0,,,,
2strokemix.com,10-07-2020,10-07-2026,6.0,2020.0,,,,
2usps.com,05-02-2016,05-02-2026,10.0,2016.0,,,,
3.gametvth.com,16-08-2014,16-08-2025,11.0,2014.0,,,,
30minutesmeals.com,01-06-2017,01-06-2028,11.0,2017.0,"ENOM, INC.",EMMA.NS.CLOUDFLARE.COM,LAKAS.NS.CLOUDFLARE.COM,
30rates.com,05-07-2015,05-07-2027,12.0,2015.0,,,,
314.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
314.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
319784.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
324214.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
32auctions.com,23-09-2008,23-09-2025,17.0,2008.0,,,,
336.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,,,,
33bridges.com,29-09-2024,29-09-2025,1.0,2024.0,,,,
33highstreetbuffalo.com,13-10-2016,13-10-2026,10.0,2016.0,,,,
343000.com,02-06-2012,02-06-2026,14.0,2012.0,,,,
344.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
34k.com,13-12-1999,13-12-2033,34.0,1999.0,,,,
360full.com,06-06-2018,06-06-2026,8.0,2018.0,,,,
365.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
365argentina.com,17-04-2008,17-04-2026,18.0,2008.0,,,,
365daysofbakingandmore.com,26-02-2014,26-02-2026,12.0,2014.0,,,,
365electric.com,23-02-2014,23-02-2028,14.0,2014.0,,,,
365thingssouthshore.com,21-04-2010,21-04-2026,16.0,2010.0,,,,
377.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
390.quizwinz.com,13-02-2023,13-02-2026,3.0,2023.0,"GoDaddy.com, LLC",NS1.DIGITALOCEAN.COM,NS2.DIGITALOCEAN.COM,NS3.DIGITALOCEAN.COM
398.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
3acloudgaming.com,08-01-2025,08-01-2026,1.0,2025.0,,,,
3ddentx.com,18-07-2022,18-07-2026,4.0,2022.0,,,,
3dsiso.com,19-12-2010,19-12-2025,15.0,2010.0,,,,
3dtuning.com,20-01-2009,20-01-2028,19.0,2009.0,,,,
3dunitygames.com,30-09-2020,30-09-2025,5.0,2020.0,,,,
3gatoscafelibro.com,13-08-2023,13-08-2025,2.0,2023.0,,,,
3i5n.jaquematealalzheimer.com,02-05-2024,02-05-2025,1.0,2024.0,,,,
3kc5.net,11-11-2023,11-11-2026,3.0,2023.0,,,,
3news.com,09-01-2000,09-01-2026,26.0,2000.0,"ENOM, INC.",OLIVIA.NS.CLOUDFLARE.COM,THEO.NS.CLOUDFLARE.COM,
3s.cc,25-11-2004,25-11-2025,21.0,2004.0,,,,
404.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
407er.com,04-10-2016,04-10-2025,9.0,2016.0,,,,
40aprons.com,04-06-2014,04-06-2028,14.0,2014.0,,,,
40plusfinance.com,29-02-2020,28-02-2026,6.0,2020.0,,,,
411.ca,13-10-2000,07-08-2029,28.0,2000.0,,,,
411.com,19-10-1995,18-10-2025,30.0,1995.0,,,,
411directoryassistance.ca,19-11-2004,18-11-2027,23.0,2004.0,BareMetal.com inc,mary.ns.cloudflare.com,todd.ns.cloudflare.com,
41stddi.com,20-05-2022,20-05-2026,4.0,2022.0,,,,
4321property.com,07-08-2012,07-08-2025,13.0,2012.0,,,,
43eb.com,04-09-2018,04-09-2025,7.0,2018.0,,,,
44873.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
44progloves.worthepenny.com,10-02-2020,10-02-2026,6.0,2020.0,,,,
462.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
463.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
49s.co.uk,17-01-1997,17-01-2027,30.0,1997.0,Safenames Ltd [Tag = SAFENAMES],ns-1005.awsdns-61.net,ns-1174.awsdns-18.org,ns-1841.awsdns-38.co.uk
49sresult.co.za,24-04-2022,24-04-2026,4.0,2022.0,EPAG Domainservices,apollo.ns.cloudflare.com,pola.ns.cloudflare.com,
4fotos1palabra.me,16-09-2022,16-09-2025,3.0,2022.0,,,,
4kwallpapers.com,10-07-2010,10-07-2026,16.0,2010.0,"Name.com, Inc.",KALLIE.NS.CLOUDFLARE.COM,TIM.NS.CLOUDFLARE.COM,
4mp3d.com,05-04-2019,05-04-2026,7.0,2019.0,,,,
4online.net,22-11-2023,22-11-2025,2.0,2023.0,,,,
4ranchesbeef.com,03-05-2020,03-05-2026,6.0,2020.0,,,,
4swapping.com,09-09-2003,09-09-2025,22.0,2003.0,,,,
4tests.com,30-03-1999,30-03-2034,35.0,1999.0,,,,
4wheeldriveguide.com,17-05-2019,17-05-2026,7.0,2019.0,,,,
4yourcna.com,06-07-2008,06-07-2026,18.0,2008.0,,,,
50-game.com,15-01-2020,15-01-2027,7.0,2020.0,Dominet (HK) Limited,BRIANNA.NS.CLOUDFLARE.COM,DAVID.NS.CLOUDFLARE.COM,
500megas.com,21-04-2024,21-04-2026,2.0,2024.0,,,,
5071.tirtory.com,17-04-2020,17-04-2026,6.0,2020.0,,,,
50krecipes.com,01-04-2021,01-04-2026,5.0,2021.0,,,,
50nsfasapplication.co.za,10-09-2018,10-09-2025,7.0,2018.0,Register Domain SA,ns1.samatricresult.co.za,ns2.samatricresult.co.za,
50wheel.com,22-09-2014,22-09-2025,11.0,2014.0,,,,
51.fflivegame.com,05-10-2023,05-10-2027,4.0,2023.0,"HOSTINGER operations, UAB",GNS21.CLOUDNS.NET,GNS22.CLOUDNS.NET,GNS23.CLOUDNS.NET
51wnet.com,04-09-2023,04-09-2025,2.0,2023.0,,,,
52dopod.net,22-10-2011,22-10-2025,14.0,2011.0,,,,
531227.com,09-06-2022,09-06-2026,4.0,2022.0,,,,
53152.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
5322.com,12-08-2002,12-08-2025,23.0,2002.0,,,,
533.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
54districtcourt.com,06-03-2010,06-03-2026,16.0,2010.0,,,,
558.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
559.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
563.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
570.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
58information.vip,03-04-2025,03-04-2027,2.0,2025.0,,,,
5et2.store,14-04-2023,14-04-2026,3.0,2023.0,,,,
60.geo-de.shop,30-03-2025,30-03-2026,1.0,2025.0,,,,
60.go.brainygamez.com,21-07-2021,21-07-2026,5.0,2021.0,"GoDaddy.com, LLC",NS-1397.AWSDNS-46.ORG,NS-2039.AWSDNS-62.CO.UK,NS-36.AWSDNS-04.COM
600tuvungtoeic.com,30-06-2014,30-06-2026,12.0,2014.0,Nhan Hoa Software Company Ltd.,NS1.ZONEDNS.VN,NS2.ZONEDNS.VN,NS3.ZONEDNS.VN
610kona.com,25-08-2007,25-08-2025,18.0,2007.0,,,,
613650.cct114.com,31-07-2003,31-07-2025,22.0,2003.0,,,,
65.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,,,,
67maosb.com,10-06-2023,10-06-2026,3.0,2023.0,,,,
69.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
69track.com,16-03-2022,16-03-2026,4.0,2022.0,,,,
6abc.com,23-12-2000,23-12-2025,25.0,2000.0,"CSC Corporate Domains, Inc.",NS-1504.AWSDNS-60.ORG,NS-1639.AWSDNS-12.CO.UK,NS-482.AWSDNS-60.COM
6dlj.cn,20-09-2023,20-09-2025,2.0,2023.0,,,,
70cigars.com,25-05-2018,25-05-2028,10.0,2018.0,,,,
720pstreams.com,04-11-2017,04-11-2025,8.0,2017.0,,,,
746276.com,07-06-2024,07-06-2025,1.0,2024.0,,,,
7771.pw,11-02-2025,11-02-2026,1.0,2025.0,,,,
777ys.vip,31-08-2022,31-08-2025,3.0,2022.0,,,,
77woo.com,23-03-2015,23-03-2026,11.0,2015.0,,,,
787flighttest.com,30-04-2017,30-04-2026,9.0,2017.0,,,,
7922.play.gamezop.com,11-09-2012,11-09-2025,13.0,2012.0,,,,
7brew-coffee-menus.com,08-04-2025,08-04-2026,1.0,2025.0,"NameCheap, Inc.",NS1.BLUEHOST.IN,NS2.BLUEHOST.IN,
7brew-coffee.com,08-07-2024,08-07-2025,1.0,2024.0,,,,
7brewcoffee-menus.com,08-04-2025,08-04-2026,1.0,2025.0,,,,
7esl.com,30-06-2017,30-06-2026,9.0,2017.0,,,,
7ew0f.blackmountaincabins.com,11-11-2021,11-11-2025,4.0,2021.0,,,,
7iquid.tech,03-03-2025,03-03-2026,1.0,2025.0,,,,
7littlewordsanswers.com,17-12-2015,17-12-2025,10.0,2015.0,GoDaddy Online Services Cayman Islands Ltd.,DHOLE.EZOICNS.COM,MOUSE.EZOICNS.COM,
7pranayama.com,13-03-2016,13-03-2028,12.0,2016.0,,,,
7sim.cc,07-10-2024,07-10-2026,2.0,2024.0,DYNADOT LLC,GNS21.CLOUDNS.NET,GNS22.CLOUDNS.NET,GNS23.CLOUDNS.NET
7starhd.com,13-08-2016,13-08-2025,9.0,2016.0,,,,
7starhdmovies.com,30-05-2017,30-05-2026,9.0,2017.0,,,,
800notes.com,15-01-2007,15-01-2026,19.0,2007.0,,,,
807824decb.brightmindly.net,24-07-2025,24-07-2026,1.0,2025.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),BART.NS.CLOUDFLARE.COM,NOVALEE.NS.CLOUDFLARE.COM,
807825decb.havenwise.net,19-06-2025,19-06-2026,1.0,2025.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),BART.NS.CLOUDFLARE.COM,NOVALEE.NS.CLOUDFLARE.COM,
80784decb.bountystory.site,08-04-2025,,,2025.0,,,,
80787decb.bountystory.click,08-04-2025,08-04-2026,1.0,2025.0,,,,
807917decb.bountystory.tech,08-04-2025,08-04-2026,1.0,2025.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),BART.NS.CLOUDFLARE.COM,NOVALEE.NS.CLOUDFLARE.COM,
807926decb.scrollara.net,16-07-2025,16-07-2026,1.0,2025.0,Alibaba Cloud Computing Ltd. d/b/a HiChina (www.net.cn),BART.NS.CLOUDFLARE.COM,NOVALEE.NS.CLOUDFLARE.COM,
8184.play.gamezop.com,11-09-2012,11-09-2025,13.0,2012.0,,,,
819.mark.qureka.com,18-01-2018,18-01-2026,8.0,2018.0,"GoDaddy.com, LLC",NS-1053.AWSDNS-03.ORG,NS-1736.AWSDNS-25.CO.UK,NS-310.AWSDNS-38.COM
83xsmf.com,15-03-2025,15-03-2026,1.0,2025.0,,,,
852beauty.com,17-01-2017,17-01-2026,9.0,2017.0,,,,
85maosb.com,10-06-2023,10-06-2026,3.0,2023.0,,,,
87recipes.com,27-06-2020,27-06-2025,5.0,2020.0,,,,
8billiontrees.com,19-11-2018,19-11-2030,12.0,2018.0,,,,
8fhe.manygoodapps.com,08-10-2023,08-10-2025,2.0,2023.0,Porkbun LLC,EVA.NS.CLOUDFLARE.COM,LOGAN.NS.CLOUDFLARE.COM,
8x9mf9.com,30-05-2022,30-05-2026,4.0,2022.0,,,,
911biomed.com,05-06-2006,05-06-2026,20.0,2006.0,,,,
911fire.com,20-07-2003,20-07-2026,23.0,2003.0,,,,
91kp.net,14-10-2024,14-10-2026,2.0,2024.0,,,,
920espnnewjersey.com,24-08-2020,24-08-2025,5.0,2020.0,,,,
923.set.predchamp.com,03-04-2021,03-04-2026,5.0,2021.0,,,,
9281.play.gamezop.com,11-09-2012,11-09-2025,13.0,2012.0,,,,
9292-korean-bbq.foodjoyy.com,09-12-2024,09-12-2025,1.0,2024.0,NAMECHEAP INC,FATTOUCHE.NS.CLOUDFLARE.COM,MACY.NS.CLOUDFLARE.COM,
941kodj.iheart.com,07-01-1999,07-01-2026,27.0,1999.0,,,,
943thepoint.com,31-07-2000,31-07-2026,26.0,2000.0,,,,
953thebear.com,08-09-2005,08-09-2025,20.0,2005.0,,,,
967theeagle.net,06-03-2007,06-03-2026,19.0,2007.0,"NameCheap, Inc.",NS1.G10.CFDNS.NET,NS2.G10.CFDNS.BIZ,NS3.G10.CFDNS.INFO
971theriver.com,30-12-2005,30-12-2025,20.0,2005.0,,,,
973thedawg.com,14-08-2002,14-08-2026,24.0,2002.0,,,,
975now.com,25-09-2007,25-09-2025,18.0,2007.0,,,,
987thegrand.com,04-06-2024,04-06-2026,2.0,2024.0,,,,
991thewhale.com,26-02-2002,26-02-2026,24.0,2002.0,,,,
9985.me,08-08-2024,08-08-2025,1.0,2024.0,,,,
99easyrecipes.kooramedia.ma,04-11-2020,04-11-2026,6.0,2020.0,CAP CONNECT,rafe.ns.cloudflare.com,andy.ns.cloudflare.com,
99hometips.com,30-06-2020,30-06-2026,6.0,2020.0,,,,
99passagens.com,27-09-2019,27-09-2025,6.0,2019.0,,,,
99scenes.com,21-12-2012,21-12-2025,13.0,2012.0,"GoDaddy.com, LLC",NS67.DOMAINCONTROL.COM,NS68.DOMAINCONTROL.COM,
99wfmk.com,07-08-1999,07-08-2025,26.0,1999.0,,,,
99xfs.com,23-03-2023,23-03-2026,3.0,2023.0,,,,
9jainfo.ng,06-11-2023,06-11-2026,3.0,2023.0,TRUEHOST CLOUD,dave.ns.cloudflare.com,elsa.ns.cloudflare.com,
9meters.com,19-07-2019,19-07-2027,8.0,2019.0,,,,
9mod.com,20-05-2022,20-05-2027,5.0,2022.0,,,,
9qlbumpb.com,17-05-2023,17-05-2026,3.0,2023.0,,,,
